sample_id,bary_sift_cutoff_0,sift_bary_cutoff_0,permu_sift_cutoff_0,permu_bary_cutoff_0,bary_permu_cutoff_0,sifting_permu_cutoff_0,bary_sift_cutoff_1,sift_bary_cutoff_1,permu_sift_cutoff_1,permu_bary_cutoff_1,bary_permu_cutoff_1,sifting_permu_cutoff_1,bary_sift_cutoff_2,sift_bary_cutoff_2,permu_sift_cutoff_2,permu_bary_cutoff_2,bary_permu_cutoff_2,sifting_permu_cutoff_2,bary_sift_cutoff_3,sift_bary_cutoff_3,permu_sift_cutoff_3,permu_bary_cutoff_3,bary_permu_cutoff_3,sifting_permu_cutoff_3,bary_sift_cutoff_4,sift_bary_cutoff_4,permu_sift_cutoff_4,permu_bary_cutoff_4,bary_permu_cutoff_4,sifting_permu_cutoff_4,bary_sift_cutoff_5,sift_bary_cutoff_5,permu_sift_cutoff_5,permu_bary_cutoff_5,bary_permu_cutoff_5,sifting_permu_cutoff_5,bary_sift_cutoff_6,sift_bary_cutoff_6,permu_sift_cutoff_6,permu_bary_cutoff_6,bary_permu_cutoff_6,sifting_permu_cutoff_6,bary_sift_cutoff_7,sift_bary_cutoff_7,permu_sift_cutoff_7,permu_bary_cutoff_7,bary_permu_cutoff_7,sifting_permu_cutoff_7,bary_sift_cutoff_8,sift_bary_cutoff_8,permu_sift_cutoff_8,permu_bary_cutoff_8,bary_permu_cutoff_8,sifting_permu_cutoff_8,bary_sift_cutoff_9,sift_bary_cutoff_9,permu_sift_cutoff_9,permu_bary_cutoff_9,bary_permu_cutoff_9,sifting_permu_cutoff_9,crossings_orig
0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
