n1,n2,num_samples,density,pred_density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal
4,4,10,0.25,0.1,3.3,0.0,0.0,0.0,0.0
4,4,10,0.25,0.2,2.2,0.0,0.0,0.0,0.0
4,4,10,0.3125,0.3,4.2,0.5,0.5,0.5,0.5
4,4,10,0.4375,0.4,7.2,2.5,2.5,2.5,2.5
4,4,10,0.5,0.5,8.2,5.5,5.6,5.5,5.5
4,4,10,0.625,0.6,13.6,8.9,9.0,8.9,8.9
4,4,10,0.75,0.7,18.0,13.8,13.9,13.8,13.8
4,4,10,0.8125,0.8,21.8,19.2,19.3,19.2,19.2
4,4,10,0.9375,0.9,32.5,28.5,28.5,28.5,28.5
