n1,n2,num_samples,avg_actual_edges,max_edges,pred_density,density,avg_crossings_original,avg_crossings_barycenter,avg_crossings_median,avg_crossings_sifting,avg_crossings_optimal,avg_tot_time_bar,avg_tot_time_med,avg_tot_time_sif,avg_tot_time_opt,avg_tot_time
4,4,20,2.0,16,0.1,0.125,0.3,0.0,0.0,0.0,0.0,1.1241436004638672e-05,9.357929229736328e-06,0.00025850534439086914,0.00025610923767089845,0.0005352139472961426
4,4,20,4.0,16,0.2,0.25,2.25,0.4,0.4,0.4,0.4,1.245737075805664e-05,9.500980377197266e-06,0.00021795034408569335,0.00031273365020751954,0.0005526423454284668
4,4,20,5.0,16,0.3,0.3125,3.4,0.75,0.75,0.75,0.75,1.2886524200439452e-05,1.0704994201660156e-05,0.0002379775047302246,0.0003416895866394043,0.0006032586097717285
4,4,20,7.0,16,0.4,0.4375,6.65,2.45,2.5,2.45,2.45,1.3875961303710938e-05,1.0776519775390626e-05,0.0002912759780883789,0.0004050731658935547,0.0007210016250610351
4,4,20,8.0,16,0.5,0.5,8.5,4.5,4.7,4.5,4.5,1.3267993927001953e-05,1.1038780212402343e-05,0.0003124237060546875,0.0004425525665283203,0.0007792830467224122
4,4,20,10.0,16,0.6,0.625,13.2,8.5,8.75,8.5,8.5,1.3577938079833985e-05,1.1086463928222656e-05,0.0003568768501281738,0.0005139589309692382,0.0008955001831054688
4,4,20,12.0,16,0.7,0.75,19.5,13.9,14.1,13.9,13.9,1.677274703979492e-05,1.0836124420166016e-05,0.00038074254989624025,0.0005367398262023926,0.0009450912475585938
4,4,20,13.0,16,0.8,0.8125,22.7,18.9,19.0,18.9,18.9,1.2922286987304688e-05,1.0907649993896484e-05,0.0003892660140991211,0.0005506038665771485,0.0009636998176574707
4,4,20,15.0,16,0.9,0.9375,31.2,28.35,28.35,28.35,28.35,1.2421607971191407e-05,1.138448715209961e-05,0.0004324913024902344,0.0006095051765441894,0.0010658025741577149
